Kode I-O,Nama Sektor, Kode sektor KSM , Klasifikasi Sektor Makro (KSM) , KSM (17 Sektor) ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,180,301,302,303,304,305,309,310,409,509,600,700
26,Penggilingan padi,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,5489.56,5534.63,716.49,0,0,0.6,3.16,0,6.75,1589.87,0,0,89215.79,0,0,0,181.25,0,5741.09,0,0,0,0,0,0,0,33.94,0,0,0,0,0,0,0,3061.16,0,0,11533.29,103945.05,0,0,0,0,3142.79,75319.3,2621.97,10289.95,0,318426.64,4512214.742,5566.356389,0,5312.143247,2265.037276,4525358.279,4843784.923,0,0,4843784.923,4843784.923
27,"Pengolahan kelapa (kopra, minyak kelapa)",C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,10473.51,64.1,30.79,0,0,0,0,0,0,0,0,0,0,16730.89,0.24,17.1,26.92,0,4861.92,0,0,0,0,0,0,0,3085.21,0,0,0,0,0,0,0,0,0,0,2106.79,9905.88,0,0,0,0,57.29,2367.85,271.55,202.9,0,50202.92,309072.8832,0,0,615.4532872,0.003950235,309688.3404,359891.2599,0,0,359891.2599,359891.2599
28,Pengolahan Kakao,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16969.6,0,198.84,0,4281.74,0,0,0,0,0,0,0,2221.52,0,0,0,0,0,0,15.17,2378.83,56.32,0,533.12,8748.83,0,0,0,0,1594.89,9047.41,29.03,739.72,0,46815,400315.6153,180.1587602,270.2381403,20219.04642,901.159277,421886.2179,468701.2187,0,0,468701.2187,468701.2187
29, Pengolahan hasil perikanan (asin/beku/olahan),C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048.15,56.44,0,1820.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.07,0,0,6148.52,26875.44,0,0,0,0,629.05,1277.42,894.9,88.92,0,40106.68,113527.5283,0,0,4088.212124,0.065733508,117615.8061,157722.4879,0,0,157722.4879,157722.4879
30,Pengolahan rumput laut,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,4.36,0,1906.94,0,1885.14,0,0,0,0,0,0,0,294.23,0,0,0,0,0,0,0,147.4,0,0,234.72,3945.79,0,0,0,0,77914.02,52442.84,17.01,484.11,0,139280.9,127143.7763,0,0,91.01431842,934.5061691,128169.2968,267450.2001,0,0,267450.2001,267450.2001
31,Industri Garam,C.2,Industri Makanan dan Minuman,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.5,19.95,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.37,2363.118509,0,0,4.904624657,8.90519E-05,2368.023223,3227.396982,0,0,3227.396982,3227.396982
32,Makanan & minuman lainnya,C.2,Industri Makanan dan Minuman,Industri Pengolahan,11909.42,38.92,0.04,0.06,16.74,1.48,3.38,0.12,10.85,27.47,0,311.67,9.68,73373.55,27814.68,807.06,3.38,0.82,1255.67,24.67,409,855.72,3625.26,3828.02,31.08,0.38,9.54,4624.43,65.05,1758.03,0.02,34638.86,1105.63,96.02,11.94,1178.59,545.44,0.19,34.04,57008.39,236.36,0.08,417.35,49.35,485.02,706.51,5446.31,4993.84,806.33,2995.67,10096.75,42363.91,4202.32,2304.52,21.4,94433.97,9490.04,50054.69,1563.38,3271.34,0,459374.44,178687.6149,0,0,5160.662601,0.038125982,183848.3156,643222.7511,0,0,643222.7511,643222.7511
33,Kayu gergajian,C.6,"Industri Kayu, Barang dari Kayu dan Gabus dan Anyaman Bambu/Rotan",Industri Pengolahan,0,0,0,0,0,0,0.9,0.08,0.77,245.55,0.43,4.53,1.4,40.48,30.03,0.64,226.81,70.78,3.84,0.36,0,0.98,12.35,45043.76,3565,0,0,0,0,0.47,0.03,286.05,75104.87,13769.42,1477.7,171.93,4047.39,5.28,1891.68,43187.6,0,0,0,1200534.05,263.34,3074.73,0,0,0,39.08,21.66,3.4,802.72,0,24.61,225.12,935.95,206.99,0,700.17,0,1396022.91,-6.13524E-11,-2.14141E-11,-3.21212E-11,-1.07071E-11,-1.07236E-10,-2.32831E-10,1396022.913,0,0,1396022.913,1396022.913
34,Furnitur & kerajinan kayu (termasuk barang dari kayu),C.15,Industri Furnitur,Industri Pengolahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9201.22,115954.4403,0,0,0,0,115954.4403,125155.6647,0,0,125155.6647,125155.6647
35,Pengolahan & kerajinan rotan,C.6,"Industri Kayu, Barang dari Kayu dan Gabus dan Anyaman Bambu/Rotan",Industri Pengolahan,20.99,13.07,1.17,5.75,106.94,503.68,4.67,22.28,0,312.37,0.1,0,3.95,24.35,10.37,2.5,194.5,30.62,1.45,0.1,0,0.15,2.59,38787.56,82.99,0.28,11.15,0,19.38,3.38,0,33.89,684.17,178.85,612.62,19.08,0.36,50.83,2621.21,1565.27,0,0,0,11370.18,26.71,7387.27,0,0,0,1527.92,0.64,8.94,2774.2,0.6,0,30.85,23.41,38.77,19.36,28.89,0,69170.36,-2.32831E-10,0,0,0,0,-2.32831E-10,69170.35543,0,0,69170.35543,69170.35543
